"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","Reporting_Airline","DOT_ID_Reporting_Airline","IATA_CODE_Reporting_Airline","Tail_Number","Flight_Number_Reporting_Airline","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2020,2,4,4,6,2020-04-04,"G4",20368,"G4","","252",10135,1013506,30135,"ABE","Allentown/Bethlehem/Easton, PA","PA","42","Pennsylvania",23,14082,1408202,34082,"PGD","Punta Gorda, FL","FL","12","Florida",33,"0600","",,,,,"0600-0659",,"","",,"0838","",,,,,"0800-0859",1.00,"D",0.00,158.00,,,1.00,1018.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,10,5,2020-04-10,"G4",20368,"G4","","331",14314,1431402,34314,"PVU","Provo, UT","UT","49","Utah",87,12892,1289208,32575,"LAX","Los Angeles, CA","CA","06","California",91,"1124","",,,,,"1100-1159",,"","",,"1212","",,,,,"1200-1259",1.00,"D",0.00,108.00,,,1.00,569.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,13,1,2020-04-13,"G4",20368,"G4","","851",14492,1449202,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,"2052","",,,,,"2000-2059",,"","",,"2243","",,,,,"2200-2259",1.00,"D",0.00,111.00,,,1.00,595.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,12,7,2020-04-12,"G4",20368,"G4","","216",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,14905,1490505,34905,"SMX","Santa Maria, CA","CA","06","California",91,"1600","",,,,,"1600-1659",,"","",,"1716","",,,,,"1700-1759",1.00,"D",0.00,76.00,,,1.00,310.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,16,4,2020-04-16,"G4",20368,"G4","","65",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,13256,1325602,33256,"MFE","Mission/McAllen/Edinburg, TX","TX","48","Texas",74,"1513","",,,,,"1500-1559",,"","",,"1959","",,,,,"1900-1959",1.00,"D",0.00,166.00,,,1.00,1210.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,3,5,2020-04-03,"G4",20368,"G4","","12",12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,10140,1014005,30140,"ABQ","Albuquerque, NM","NM","35","New Mexico",86,"1338","",,,,,"1300-1359",,"","",,"1603","",,,,,"1600-1659",1.00,"D",0.00,85.00,,,1.00,486.00,2,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,3,5,2020-04-03,"G4",20368,"G4","224NV","257",10135,1013506,30135,"ABE","Allentown/Bethlehem/Easton, PA","PA","42","Pennsylvania",23,14761,1476107,34761,"SFB","Sanford, FL","FL","12","Florida",33,"1746","1734",-12.00,0.00,0.00,-1,"1700-1759",7.00,"1741","1935",4.00,"2008","1939",-29.00,0.00,0.00,-2,"2000-2059",0.00,"",0.00,142.00,125.00,114.00,1.00,882.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,4,6,2020-04-04,"G4",20368,"G4","","1351",11193,1119302,33105,"CVG","Cincinnati, OH","KY","21","Kentucky",52,14112,1411206,33195,"PIE","St. Petersburg, FL","FL","12","Florida",33,"1811","",,,,,"1800-1859",,"","",,"2014","",,,,,"2000-2059",1.00,"D",0.00,123.00,,,1.00,776.00,4,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,10,5,2020-04-10,"G4",20368,"G4","","1752",11721,1172105,31721,"FNT","Flint, MI","MI","26","Michigan",43,11697,1169706,32467,"FLL","Fort Lauderdale, FL","FL","12","Florida",33,"1836","",,,,,"1800-1859",,"","",,"2129","",,,,,"2100-2159",1.00,"D",0.00,173.00,,,1.00,1182.00,5,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2020,2,4,14,2,2020-04-14,"G4",20368,"G4","","1200",10431,1043105,30431,"AVL","Asheville, NC","NC","37","North Carolina",36,11618,1161802,31703,"EWR","Newark, NJ","NJ","34","New Jersey",21,"0700","",,,,,"0700-0759",,"","",,"0900","",,,,,"0900-0959",1.00,"D",0.00,120.00,,,1.00,583.00,3,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
